Fecha,Semana,Turno,Tripulacion,Fase,Linea,Cliente,Lado,Estacion,Min,Problema,Paro,Capturista,Estación
2025-05-02,18.0,1,A,Fase2,M11 Final RR RH,HONDA,RR RH,LÍNEA,245.0,Falta de Material,RR RH LÍNEA Falta de Material,245 min RR RH LÍNEA Falta de Material falta de cable N1814303A-4ID ,
2025-05-02,18.0,1,A,Fase2,M11 Final FR LH,HONDA,FR RH,LÍNEA,20.0,Apagón Eléctrico,FR RH LÍNEA Apagón Eléctrico,20 min FR RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase2,M11 Final FR RH,HONDA,FR RH,LÍNEA,20.0,Apagón Eléctrico,FR RH LÍNEA Apagón Eléctrico,20 min FR RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase2,M11 Final FR RH,HONDA,FR RH,LÍNEA,20.0,Apagón Eléctrico,FR RH LÍNEA Apagón Eléctrico,20 min FR RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase2,M16 B RH,HONDA,RH,B13,5.0,No da Ciclo,RH B13 No da Ciclo,5 min RH B13 No da Ciclo ajustan sensor FR A RR ,
2025-05-02,18.0,1,A,Fase2,M16 B RH,HONDA,RH,B13,17.0,Falla Lectura de QR,RH B13 Falla Lectura de QR,17 min RH B13 Falla Lectura de QR no pone lacereado ,
2025-05-02,18.0,1,A,Fase2,M16 B RH,HONDA,RH,LÍNEA,8.0,Apagón Eléctrico,RH LÍNEA Apagón Eléctrico,8 min RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase1,GA Main,NISSAN,,A25,5.0,No pasa Red Rabbit, A25 No pasa Red Rabbit,5 min  A25 No pasa Red Rabbit ,
2025-05-02,18.0,1,A,Fase1,GA Main,NISSAN,,A30,5.0,Falla de Máquina, A30 Falla de Máquina,5 min  A30 Falla de Máquina time out,
2025-05-02,18.0,1,A,Fase1,GA Main,NISSAN,,LÍNEA,17.0,Apagón Eléctrico, LÍNEA Apagón Eléctrico,17 min  LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase1,GA Main,NISSAN,,LÍNEA,7.0,Falla Lectura de QR, LÍNEA Falla Lectura de QR,7 min  LÍNEA Falla Lectura de QR no legible ,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,LÍNEA,35.0,Ausentismo,RH LÍNEA Ausentismo,35 min RH LÍNEA Ausentismo ,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,J01,40.0,Entrenamiento de Personal,RH J01 Entrenamiento de Personal,40 min RH J01 Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,LÍNEA,10.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,10 min RH LÍNEA Cambio de Modelo  1,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,LÍNEA,10.0,Apagón Eléctrico,RH LÍNEA Apagón Eléctrico,10 min RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,J01,10.0,Falla de Sensor (SD),RH J01 Falla de Sensor (SD),10 min RH J01 Falla de Sensor (SD) no detecta punto de grasa ,
2025-05-02,18.0,1,A,Fase1,GA Cable B LH,NISSAN,LH,LÍNEA,10.0,Apagón Eléctrico,LH LÍNEA Apagón Eléctrico,10 min LH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase1,GA Cable B LH,NISSAN,LH,J01,55.0,Falta de Material,LH J01 Falta de Material,55 min LH J01 Falta de Material falta de latch 14180,
2025-05-02,18.0,1,A,Fase1,GA Cable B LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  1,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,J04,17.0,,RH J04 ,17 min RH J04  ,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,J02,30.0,Falla de Sensor (SD),RH J02 Falla de Sensor (SD),30 min RH J02 Falla de Sensor (SD) no crimpa la pieza ,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,LÍNEA,5.0,Cambio de Refacción (Mtto),RH LÍNEA Cambio de Refacción (Mtto),5 min RH LÍNEA Cambio de Refacción (Mtto) cambio de herramental dañdo ,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,J02,16.0,Falla de Máquina,RH J02 Falla de Máquina,16 min RH J02 Falla de Máquina sello dañado,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,J04,12.0,Falla de Sensor (SD),RH J04 Falla de Sensor (SD),12 min RH J04 Falla de Sensor (SD) no detecta pieza,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RR RH,LÍNEA,10.0,Apagón Eléctrico,RR RH LÍNEA Apagón Eléctrico,10 min RR RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase1,Check link XDC,NISSAN,,LÍNEA,10.0,Junta de Reclamo, LÍNEA Junta de Reclamo,10 min  LÍNEA Junta de Reclamo ,
2025-05-02,18.0,1,A,Fase1,Check link XDC,NISSAN,,A4,10.0,Ajuste de Riveteados, A4 Ajuste de Riveteados,10 min  A4 Ajuste de Riveteados ,
2025-05-02,18.0,1,A,Fase1,Check link XDC,NISSAN,,A4,20.0,Entrenamiento de Personal, A4 Entrenamiento de Personal,20 min  A4 Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase2,M16 A LH,HONDA,LH,LÍNEA,4.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,4 min LH LÍNEA Cambio de Modelo  ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,LÍNEA,10.0,Entrenamiento de Personal,RH LÍNEA Entrenamiento de Personal,10 min RH LÍNEA Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B13,8.0,Reparación de Refacción (Mtto),RH B13 Reparación de Refacción (Mtto),8 min RH B13 Reparación de Refacción (Mtto) falla de conector,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B09,13.0,Dispensador de tornillos,RH B09 Dispensador de tornillos,13 min RH B09 Dispensador de tornillos No funciona,
2025-05-02,18.0,1,A,Fase2,ODYSSEY LH,HONDA,LH,B3,42.0,Ajuste de Riveteados,LH B3 Ajuste de Riveteados,42 min LH B3 Ajuste de Riveteados ,
2025-05-02,18.0,1,A,Fase2,ODYSSEY LH,HONDA,LH,LÍNEA,60.0,Entrenamiento de Personal,LH LÍNEA Entrenamiento de Personal,60 min LH LÍNEA Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase2,ODYSSEY LH,HONDA,LH,LÍNEA,6.0,Cambio de Grasa,LH LÍNEA Cambio de Grasa,6 min LH LÍNEA Cambio de Grasa ,
2025-05-02,18.0,1,A,Fase2,M16 B RH,HONDA,RH,B10,16.0,Pogo-Pines,RH B10 Pogo-Pines,16 min RH B10 Pogo-Pines marca motor ng,
2025-05-02,18.0,1,A,Fase1,M2 RR RH,NISSAN,RR RH,LÍNEA,22.0,Maquina NO Enciende,RR RH LÍNEA Maquina NO Enciende,22 min RR RH LÍNEA Maquina NO Enciende ,
2025-05-02,18.0,1,A,Fase1,M2 RR RH,NISSAN,RR RH,A4,15.0,Falla de Máquina,RR RH A4 Falla de Máquina,15 min RR RH A4 Falla de Máquina marca golder,
2025-05-02,18.0,1,A,Fase1,M2 FR LH,NISSAN,FR LH,A1,10.0,Falla de Máquina,FR LH A1 Falla de Máquina,10 min FR LH A1 Falla de Máquina no entra el bush,
2025-05-02,18.0,1,A,Fase1,M2 FR LH,NISSAN,FR LH,A4,10.0,Entrenamiento de Personal,FR LH A4 Entrenamiento de Personal,10 min FR LH A4 Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase1,M2 FR LH,NISSAN,FR LH,A4,15.0,Key Lever,FR LH A4 Key Lever,15 min FR LH A4 Key Lever ,
2025-05-02,18.0,1,A,Fase1,GA Cable A LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  ,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,LÍNEA,10.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,10 min RH LÍNEA Cambio de Modelo  ,
2025-05-02,18.0,1,A,Fase1,GA Cable A RH,NISSAN,RH,J02,15.0,Falla de Máquina,RH J02 Falla de Máquina,15 min RH J02 Falla de Máquina no libera pieza,
2025-05-02,18.0,1,A,Fase1,GA Cable B LH,NISSAN,LH,J04,40.0,Entrenamiento de Personal,LH J04 Entrenamiento de Personal,40 min LH J04 Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase1,GA Cable B LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  ,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,J01,40.0,Entrenamiento de Personal,RH J01 Entrenamiento de Personal,40 min RH J01 Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase1,GA Cable B RH,NISSAN,RH,LÍNEA,70.0,Falta de Material,RH LÍNEA Falta de Material,70 min RH LÍNEA Falta de Material Latch V0712110,
2025-05-02,18.0,1,A,Fase1,Hinge Autom,NISSAN,,A2,24.0,Falla de Máquina, A2 Falla de Máquina,24 min  A2 Falla de Máquina ,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,LÍNEA,7.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,7 min  LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A32,5.0,Retorno Lento, A32 Retorno Lento,5 min  A32 Retorno Lento oh,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A32,4.0,Striker, A32 Striker,4 min  A32 Striker ,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A25,4.0,Lever IH, A25 Lever IH,4 min  A25 Lever IH BOTADO,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A30,7.0,Dispensador de tornillos, A30 Dispensador de tornillos,7 min  A30 Dispensador de tornillos ,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,LÍNEA,7.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,7 min  LÍNEA Cambio de Modelo  #2,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A34,6.0,Falla de Máquina, A34 Falla de Máquina,6 min  A34 Falla de Máquina CONECTOR,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A11,4.0,Key Link, A11 Key Link,4 min  A11 Key Link PALLET 32,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,LÍNEA,7.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,7 min  LÍNEA Cambio de Modelo  #3,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,LÍNEA,7.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,7 min  LÍNEA Cambio de Modelo  #4,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A1,8.0,Material No Conforme, A1 Material No Conforme,8 min  A1 Material No Conforme CASE,
2025-05-02,18.0,2,B,Fase1,GA Cable A RH,NISSAN,RH,J02,11.0,Maquina Alarmada,RH J02 Maquina Alarmada,11 min RH J02 Maquina Alarmada MARCA CORTINA INTERRUMPIDA,
2025-05-02,18.0,2,B,Fase1,GA Cable A RH,NISSAN,RH,LÍNEA,10.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,10 min RH LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase1,GA Cable A RH,NISSAN,RH,J04,11.0,Falla de Máquina,RH J04 Falla de Máquina,11 min RH J04 Falla de Máquina SEGURO,
2025-05-02,18.0,2,B,Fase1,GA Cable A RH,NISSAN,RH,J02,9.0,Falla de Sensor (SD),RH J02 Falla de Sensor (SD),9 min RH J02 Falla de Sensor (SD) CRIMPADO NG,
2025-05-02,18.0,2,B,Fase1,GA Cable A RH,NISSAN,RH,J04,2.0,Falla de Sensor (SD),RH J04 Falla de Sensor (SD),2 min RH J04 Falla de Sensor (SD) CEJA,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  #2,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,J02,20.0,Falla de Máquina,LH J02 Falla de Máquina,20 min LH J02 Falla de Máquina DISPENSADOR DE GRASA,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,LÍNEA,7.0,Falta de Material,LH LÍNEA Falta de Material,7 min LH LÍNEA Falta de Material ,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,J02,12.0,Cambio de Refacción (Mtto),LH J02 Cambio de Refacción (Mtto),12 min LH J02 Cambio de Refacción (Mtto) DISPENSADOR DE GRASA,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  #3,
2025-05-02,18.0,2,B,Fase1,GA Cable A LH,NISSAN,LH,LÍNEA,10.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,10 min LH LÍNEA Cambio de Modelo  #4,
2025-05-02,18.0,2,B,Fase1,Check link XDC,NISSAN,,LÍNEA,10.0,Junta de Reclamo, LÍNEA Junta de Reclamo,10 min  LÍNEA Junta de Reclamo ,
2025-05-02,18.0,2,B,Fase1,Check link XDC,NISSAN,,LÍNEA,10.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,10 min  LÍNEA Cambio de Modelo  ,
2025-05-03,18.0,1,B,Fase2,Conveyor,HONDA,,LÍNEA,6.0,No Termina Ciclo, LÍNEA No Termina Ciclo,6 min  LÍNEA No Termina Ciclo ,
2025-05-03,18.0,2,B,Fase2,Conveyor,HONDA,,LÍNEA,7.0,Ausentismo, LÍNEA Ausentismo,7 min  LÍNEA Ausentismo ,
2025-05-03,18.0,2,B,Fase2,Conveyor,HONDA,,K15,73.0,Ausentismo, K15 Ausentismo,73 min  K15 Ausentismo SE DESHABILITA,
2025-05-03,18.0,2,B,Fase2,Conveyor,HONDA,,LÍNEA,7.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,7 min  LÍNEA Cambio de Modelo  ,
2025-05-03,18.0,2,B,Fase2,Conveyor,HONDA,,K01,27.0,Slider, K01 Slider,27 min  K01 Slider ,
2025-05-03,18.0,2,B,Fase2,Conveyor,HONDA,,K13,5.0,Maquina Alarmada, K13 Maquina Alarmada,5 min  K13 Maquina Alarmada SLIDER,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A28,15.0,Entrenamiento de Personal, A28 Entrenamiento de Personal,15 min  A28 Entrenamiento de Personal ,
2025-05-02,18.0,2,B,Fase1,GA Main,NISSAN,,A32,5.0,Striker, A32 Striker,5 min  A32 Striker ,
2025-05-02,18.0,2,B,Fase1,GA Cable A RH,NISSAN,RH,J04,10.0,Ajuste de Sensor (SD),RH J04 Ajuste de Sensor (SD),10 min RH J04 Ajuste de Sensor (SD) Sensor de ceja activado,
2025-05-02,18.0,2,B,Fase2,M16 A LH,HONDA,LH,LÍNEA,1.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,1 min LH LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase2,ODYSSEY RH,HONDA,RH,LÍNEA,20.0,Ausentismo,RH LÍNEA Ausentismo,20 min RH LÍNEA Ausentismo Falta de personal ,
2025-05-02,18.0,2,B,Fase1,AC9 Cinch,STELLANTIS,,A1,17.0,Flujo Lento, A1 Flujo Lento,17 min  A1 Flujo Lento No ensambla BEARING,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,B2,6.0,No da Ciclo,LH B2 No da Ciclo,6 min LH B2 No da Ciclo Marca Air Down ,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,B7,8.0,No Inyecta Puntos de Grasa,LH B7 No Inyecta Puntos de Grasa,8 min LH B7 No Inyecta Puntos de Grasa Ajuste de punto de grasa en lever OH,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,B6,5.0,Entrenamiento de Personal,LH B6 Entrenamiento de Personal,5 min LH B6 Entrenamiento de Personal Entrenamiento ,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,B7,11.0,Dispensador de tornillos,LH B7 Dispensador de tornillos,11 min LH B7 Dispensador de tornillos No abastece tornillo ,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,LÍNEA,5.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,5 min LH LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,B2,25.0,Manguera Reventada,LH B2 Manguera Reventada,25 min LH B2 Manguera Reventada Se revienta manguera de grasa,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,B13,5.0,Lever IH,LH B13 Lever IH,5 min LH B13 Lever IH Marca lever lock IH,
2025-05-02,18.0,2,B,Fase2,M16 B LH,HONDA,LH,LÍNEA,3.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,3 min LH LÍNEA Cambio de Modelo  #2,
2025-05-02,18.0,2,B,Fase2,M16 B RH,HONDA,RH,LÍNEA,10.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,10 min RH LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase2,M16 B RH,HONDA,RH,B3,3.0,Acomodo de Personal,RH B3 Acomodo de Personal,3 min RH B3 Acomodo de Personal Entrenamiento ,
2025-05-02,18.0,2,B,Fase2,M16 B RH,HONDA,RH,LÍNEA,2.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,2 min RH LÍNEA Cambio de Modelo  #2,
2025-05-02,18.0,2,B,Fase2,M16 A RH,HONDA,RH,LÍNEA,5.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,5 min RH LÍNEA Cambio de Modelo  #1,
2025-05-02,18.0,2,B,Fase2,M16 A RH,HONDA,RH,LÍNEA,5.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,5 min RH LÍNEA Cambio de Modelo  #2,
2025-05-02,18.0,2,B,Fase2,M16 A RH,HONDA,RH,B13,15.0,Retorno Lento,RH B13 Retorno Lento,15 min RH B13 Retorno Lento Marca retorno de lever OH,
2025-05-02,18.0,2,B,Fase2,M16 A RH,HONDA,RH,LÍNEA,5.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,5 min RH LÍNEA Cambio de Modelo  #3,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,LÍNEA,15.0,Maquina Alarmada, LÍNEA Maquina Alarmada,15 min  LÍNEA Maquina Alarmada LÍNEA alarmada ,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,LÍNEA,8.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,8 min  LÍNEA Cambio de Modelo  Cambio de modelo de 18TY a M11,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,K06,7.0,Material con Rebaba, K06 Material con Rebaba,7 min  K06 Material con Rebaba Body con rebaba,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,LH,K11,8.0,Mal Ensamble,LH K11 Mal Ensamble,8 min LH K11 Mal Ensamble No ensambla Shaft rachet,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,K03,14.0,Maquina Alarmada, K03 Maquina Alarmada,14 min  K03 Maquina Alarmada Se alarma maquina marca lever NG,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,K02,8.0,Inspección de Material, K02 Inspección de Material,8 min  K02 Inspección de Material Lever rachet mal platinado,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,K27,22.0,Inspección de Material, K27 Inspección de Material,22 min  K27 Inspección de Material Back plate manchado,
2025-05-02,18.0,2,B,Fase2,Conveyor,HONDA,,K34,23.0,Retorno Lento, K34 Retorno Lento,23 min  K34 Retorno Lento Latch no regresa ,
2025-05-02,18.0,2,B,Fase1,AC9 Cinch,STELLANTIS,,LÍNEA,6.0,Ausentismo, LÍNEA Ausentismo,6 min  LÍNEA Ausentismo Falta de personal ,
2025-05-02,18.0,2,B,Fase1,AC9 Cinch,STELLANTIS,,LÍNEA,17.0,Falta de Sub-ensamble, LÍNEA Falta de Sub-ensamble,17 min  LÍNEA Falta de Sub-ensamble Falta de ensamble de rope ,
2025-05-02,18.0,2,B,Fase1,AC9 Cinch,STELLANTIS,,LÍNEA,14.0,Cambio de Modelo , LÍNEA Cambio de Modelo ,14 min  LÍNEA Cambio de Modelo  Cambio de modelo ,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,LÍNEA,25.0,Abastecimiento,FR RH LÍNEA Abastecimiento,25 min FR RH LÍNEA Abastecimiento Falta de ws,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,LÍNEA,10.0,Cambio de Modelo ,FR RH LÍNEA Cambio de Modelo ,10 min FR RH LÍNEA Cambio de Modelo  #1,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,LÍNEA,18.0,Liberación de Calidad,FR RH LÍNEA Liberación de Calidad,18 min  ,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,A4,10.0,Falla de Máquina,FR RH A4 Falla de Máquina,10 min FR RH A4 Falla de Máquina marca llave,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,LÍNEA,6.0,Falta de Material,FR RH LÍNEA Falta de Material,6 min FR RH LÍNEA Falta de Material caja,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,LÍNEA,10.0,Cambio de Modelo ,FR RH LÍNEA Cambio de Modelo ,10 min FR RH LÍNEA Cambio de Modelo  #2,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,A5,43.0,Ajuste de Estampado,FR RH A5 Ajuste de Estampado,43 min FR RH A5 Ajuste de Estampado ,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,A4,10.0,Ajuste de Sensor (SD),FR RH A4 Ajuste de Sensor (SD),10 min FR RH A4 Ajuste de Sensor (SD) ,
2025-05-05,19.0,1,B,Fase1,M2 FR RH,NISSAN,FR RH,LÍNEA,10.0,Cambio de Modelo ,FR RH LÍNEA Cambio de Modelo ,10 min FR RH LÍNEA Cambio de Modelo  #3 rev 1,
2025-05-05,19.0,1,B,Fase1,M2 RR RH,NISSAN,RR RH,LÍNEA,20.0,Abastecimiento,RR RH LÍNEA Abastecimiento,20 min RR RH LÍNEA Abastecimiento Falta de ws,
2025-05-05,19.0,1,B,Fase1,M2 RR RH,NISSAN,RR RH,LÍNEA,10.0,Cambio de Modelo ,RR RH LÍNEA Cambio de Modelo ,10 min RR RH LÍNEA Cambio de Modelo  #1 rev 1,
2025-05-05,19.0,1,B,Fase1,M2 RR RH,NISSAN,RR RH,LÍNEA,8.0,Maquina NO Enciende,RR RH LÍNEA Maquina NO Enciende,8 min RR RH LÍNEA Maquina NO Enciende ,
2025-05-05,19.0,1,B,Fase1,M2 RR RH,NISSAN,RR RH,LÍNEA,14.0,Liberación de Calidad,RR RH LÍNEA Liberación de Calidad,14 min RR RH LÍNEA Liberación de Calidad ,
2025-05-05,19.0,1,B,Fase1,M2 RR RH,NISSAN,RR RH,LÍNEA,10.0,Cambio de Modelo ,RR RH LÍNEA Cambio de Modelo ,10 min RR RH LÍNEA Cambio de Modelo  #2 rev 1,
2025-05-05,19.0,1,B,Fase1,M2 RR RH,NISSAN,RR RH,A5,16.0,Ajuste de Estampado,RR RH A5 Ajuste de Estampado,16 min RR RH A5 Ajuste de Estampado ,
